ID,Treatment,Original_vial,Male1_ID,Male2_ID,Offspring_Gen1_Live,Offspring_Gen1_Dead,Offspring_Gen2,Offspring_Gen3,Offspring_Gen4,Offspring_Gen5,NOTES
1,Mono,61,61,61,19,4,,,,,
2,Poly,56,56,57,54,7,,,,,
3,Mono,62,62,62,70,3,,,,,
4,Poly,57,57,58,52,7,,,,,
5,Mono,63,63,63,67,12,,,,,
6,Poly,58,58,59,39,4,,,,,
7,Poly,59,59,60,28,0,,,,,
8,Poly,60,60,56,63,5,,,,,
9,Poly,51,51,52,96,10,,,,,
10,Mono,64,64,64,35,4,,,,,
11,Poly,52,52,53,45,11,,,,,
12,Poly,53,53,54,46,5,,,,,
13,Poly,54,54,55,42,2,,,,,
14,Poly,55,55,51,49,23,,,,,
15,Mono,65,65,61,108,13,,,,,
16,Poly,46,46,47,78,3,,,,,
17,Mono,66,66,66,85,5,,,,,
18,Mono,67,67,67,21,4,,,,,
19,Poly,47,47,48,92,3,,,,,
20,Poly,48,48,49,46,0,,,,,
21,Poly,49,49,50,57,2,,,,,
22,Poly,50,50,46,56,2,,,,,
23,Poly,41,41,42,111,9,,,,,
24,Poly,42,42,43,86,1,,,,,
25,Poly,43,43,44,6,1,,,,,
26,Mono,68,68,68,44,20,,,,,
27,Poly,39,39,40,48,6,,,,,
28,Mono,69,69,69,49,9,,,,,
29,Poly,29,29,30,94,10,,,,,
30,Poly,36,36,37,41,6,,,,,
31,Mono,70,70,70,37,8,,,,,
32,Mono,71,71,71,12,1,,,,,
33,Poly,26,26,28,10,2,,,,,
34,Mono,72,72,72,27,3,,,,,
35,Poly,28,28,29,94,11,,,,,
36,Poly,32,32,33,31,7,,,,,
37,Poly,24,24,25,44,5,,,,,
38,Mono,73,73,73,63,10,,,,,
39,Poly,3,3,4,66,13,,,,,
40,Mono,74,74,74,22,8,,,,,
41,Poly,10,10,6,79,19,,,,,Faint Male mark
42,Poly,12,12,13,31,2,,,,,
43,Poly,9,9,10,79,17,,,,,
44,Mono,75,75,75,47,8,,,,,
45,Mono,76,76,76,43,17,,,,,
46,Poly,11,11,12,67,9,,,,,
47,Mono,77,77,77,0,0,,,,,
48,Mono,78,78,78,69,1,,,,,
49,Mono,79,79,79,78,11,,,,,
50,Mono,80,80,80,66,9,,,,,
51,Mono,81,81,81,38,4,,,,,
52,Mono,82,82,82,31,0,,,,,
53,Poly,22,22,23,57,2,,,,,
54,Poly,31,31,32,9,5,,,,,
55,Mono,83,83,83,37,3,,,,,
56,Mono,84,84,84,37,2,,,,,
57,Mono,85,85,85,0,0,,,,,
58,Mono,86,86,86,14,0,,,,,
59,Mono,87,87,87,29,4,,,,,
60,Poly,34,34,35,61,5,,,,,
61,Poly,21,21,22,60,4,,,,,
62,Mono,88,88,88,75,2,,,,,
63,Mono,89,89,89,46,7,,,,,
64,Mono,90,90,90,86,3,,,,,
65,Mono,91,91,91,23,7,,,,,
66,Poly,30,30,26,97,9,,,,,
67,Poly,38,38,39,31,5,,,,,
68,Mono,92,92,92,57,2,,,,,
69,Mono,93,93,93,18,1,,,,,
70,Poly,37,37,38,98,22,,,,,
71,Poly,25,25,21,3,0,,,,,
72,Poly,40,40,36,85,16,,,,,
73,Mono,94,94,94,88,2,,,,,
74,Poly,33,33,34,5,1,,,,,
75,Mono,95,95,95,74,5,,,,,
76,Poly,23,23,24,40,4,,,,,
77,Mono,96,96,96,81,2,,,,,
78,Poly,35,35,31,89,,,,,,
79,Mono,97,97,97,56,6,,,,,
80,Mono,98,98,98,0,0,,,,,
81,Mono,99,99,99,14,3,,,,,
82,Poly,16,16,17,19,5,,,,,
83,Poly,17,17,18,85,2,,,,,
84,Mono,100,100,100,69,6,,,,,
85,Mono,101,101,101,0,0,,,,,
86,Poly,1,1,2,78,8,,,,,
87,Poly,2,2,3,80,10,,,,,
88,Mono,102,102,102,88,13,,,,,
89,Mono,103,103,103,84,8,,,,,
90,Poly,5,5,1,65,1,,,,,
91,Mono,104,104,104,103,8,,,,,
92,Poly,4,4,5,36,13,,,,,
93,Mono,,,,,,,,,,DEAD
94,Mono,105,105,105,55,2,,,,,
95,Poly,20,20,16,70,7,,,,,
96,Poly,19,19,20,52,7,,,,,
97,Mono,106,106,106,36,0,,,,,
98,Poly,18,18,19,48,4,,,,,
99,Poly,8,8,9,61,12,,,,,
100,Mono,107,107,107,95,7,,,,,
101,Poly,15,15,11,45,12,,,,,
102,Mono,108,108,108,55,10,,,,,
103,Mono,109,109,109,27,8,,,,,
104,Mono,110,110,110,,,,,,,No female at 'females out'
105,Mono,111,111,111,0,0,,,,,
106,Poly,44,44,45,21,3,,,,,
107,Poly,45,45,41,75,13,,,,,
108,Poly,6,6,7,49,0,,,,,
109,Mono,112,112,112,12,1,,,,,
110,Poly,7,7,8,45,8,,,,,
111,Poly,13,13,14,34,4,,,,,
112,Mono,113,113,113,2,1,,,,,
113,Mono,114,114,114,47,16,,,,,
114,Poly,14,14,15,35,4,,,,,
115,Mono,115,115,115,19,1,,,,,
116,Poly,,,,,,,,,,NONE
117,Mono,116,116,116,0,0,,,,,